FishID,GroupID,Rank,LC_Adj,TL,Init_TL,Diff_TL,Perc_change_TL,R2_Shrink,R1_Shrink,Shrinking,Size_R2R1_Initial,Max_Temp_LC,Max_Temp_LC_INIT
B008_2,B008,2,5,62.5,62.5,0,0,0,,0,0.796178344,28.112,30.2
B011_1,B011,1,5,68.67,68.67,0,0,,0,0,0.762050386,28.791,30.18
B19_1,B19,1,2,62,62,0,0,,0,0,0.75,32.365,31.443
B19_2,B19,2,1,46.5,46.5,0,0,0,,0,0.762295082,31.443,29.964
B19_2,B19,2,3,48,48,0,0,0,,0,0.774193548,31.257,32.365
B19_2,B19,2,5,49.5,49.5,0,0,0,,0,0.771388499,27.37,30.083
B21_2,B21,2,3,49,49,0,0,0,,0,0.753846154,31.543,32.645
B21_2,B21,2,4,49,49,0,0,0,,0,0.750038267,30.03,31.543
B21_2,B21,2,5,49,49,0,0,0,,0,0.748091603,27.569,30.03
B24_1,B24,1,1,54,54,0,0,,0,0,0.768518519,31.743,30.1715
B28_2,B28,2,1,52,52,0,0,0,,0,0.764705882,32.488,31.70425
B28_2,B28,2,4,53.67,53.67,0,0,0,,0,0.763116735,30.2,31.66
B29_1,B29,1,3,60.83,60.83,0,0,,0,0,0.813743219,31.65,33.085
B31_1,B31,1,5,80.17,80.17,0,0,,0,0,0.806660846,28.46475,30.37
B31_2,B31,2,2,64,64,0,0,0,,0,0.8,32.67,33.033
B33_1,B33,1,1,67,67,0,0,,0,0,0.820895522,31.98,30.6245
B33_2,B33,2,2,53.17,53.17,0,0,0,,0,0.79358209,32.704,31.98
B35_1,B35,1,1,62.5,62.5,0,0,,0,0,0.768,31.978,31.6745
B40_2,B40,2,2,56,56,0,0,0,,0,0.82962963,32.652,32.647
B40_2,B40,2,4,56.17,56.17,0,0,0,,0,0.808201439,30.09,31.49
B48_2,B48,2,3,59.17,59.17,0,0,0,,0,0.747379058,31.83,33.073
B54_2,B54,2,2,52.83,52.83,0,0,0,,0,0.79443609,32.685,33.083
B58_2,B58,2,1,59,59,0,0,0,,0,0.751592357,32.19,31.5515
B58_2,B58,2,3,59.83,59.83,0,0,0,,0,0.747875,31.403,32.573
B59_1,B59,1,3,51.17,51.17,0,0,,0,0,0.74594489,31.96,32.405
B59_2,B59,2,3,38.17,38.17,0,0,0,,0,0.74594489,31.96,32.405
B60_2,B60,2,1,49,49,0,0,0,,0,0.882882883,32.337,31.308
B62_2,B62,2,2,61.33,61.33,0,0,0,,0,0.791354839,32.518,33.03
B64_1,B64,1,2,71,71,0,0,,0,0,0.807464789,32.753,33.658
B64_2,B64,2,5,58.67,58.67,0,0,0,,0,0.800081822,28.71725,30.425
B68_1,B68,1,2,82.5,82.5,0,0,,0,0,0.793939394,32.45,32.007
B68_1,B68,1,5,83.5,83.5,0,0,,0,0,0.78239521,27.97025,30.2
B68_2,B68,2,1,65.5,65.5,0,0,0,,0,0.798780488,32.007,31.29075
B69_2,B69,2,3,48,48,0,0,0,,0,0.786885246,31.11,32.53
B71_1,B71,1,3,68.5,68.5,0,0,,0,0,0.751824818,31.335,32.774
B71_1,B71,1,4,68.5,68.5,0,0,,0,0,0.756642336,30.22,31.335
B78_2,B78,2,5,41,41,0,0,0,,0,0.798753166,27.189,30.313
B79_2,B79,2,2,60.5,60.5,0,0,0,,0,0.828767123,32.45,31.684
B79_2,B79,2,4,61.17,61.17,0,0,0,,0,0.83032442,30.16,31.8
B79_2,B79,2,5,61.17,61.17,0,0,0,,0,0.813755488,27.2105,30.16
B80_1,B80,1,4,64.67,64.67,0,0,,0,0,0.791247874,30.598,31.47
B80_2,B80,2,4,51.17,51.17,0,0,0,,0,0.791247874,30.598,31.47
B83_2,B83,2,5,61.17,61.17,0,0,0,,0,0.79617337,29.74,31.1
LY103_1,LY103,1,4,70.83,70.83,0,0,,0,0,0.698856417,30.2,31.895
LY106_1,LY106,1,4,67.83,67.83,0,0,,0,0,0.793601651,30.28,31.947
LY249_2,LY249,2,3,62.5,62.5,0,0,0,,0,0.956681463,31.933,32.78
LY249_2,LY249,2,4,62.5,62.5,0,0,0,,0,0.959030229,30.37,31.933
LY272_1,LY272,1,5,76.17,76.17,0,0,,0,0,0.772351319,27.63675,30.227
LY274B14_1,LY274B14,1,4,72.67,72.67,0,0,,0,0,0.761387092,30.11,31.313
LY344_1,LY344,1,3,70.67,70.67,0,0,,0,0,0.808971275,31.57,32.165
LY344_1,LY344,1,4,70.67,70.67,0,0,,0,0,0.818310457,30.457,31.57
LY347_1,LY347,1,2,77.83,77.83,0,0,,0,0,0.719516896,32.516,32.478
LY347_2,LY347,2,2,56,56,0,0,0,,0,0.719516896,32.516,32.478
LY353B002_2,LY353B002,2,1,57.5,57.5,0,0,0,,0,0.804195804,32.57,32.36
LY355B012_1,LY355B012,1,1,68.5,68.5,0,0,,0,0,0.817518248,32.697,32.61371429
LY355B012_2,LY355B012,2,1,56,56,0,0,0,,0,0.817518248,32.697,32.61371429
LY357_2,LY357,2,1,58.5,58.5,0,0,0,,0,0.801369863,32.77,32.94025
LY372_1,LY372,1,2,67,67,0,0,,0,0,0.746268657,32.58,32.73
LY372_1,LY372,1,3,67,67,0,0,,0,0,0.746268657,31.66,32.58
LY372_2,LY372,2,1,50,50,0,0,0,,0,0.78125,32.73,32.31714286
LY372_2,LY372,2,2,50,50,0,0,0,,0,0.746268657,32.58,32.73
LY394_2,LY394,2,3,53.67,53.67,0,0,0,,0,0.692516129,31.43,32.69
LY399_1,LY399,1,3,80,80,0,0,,0,0,0.766625,31.348,32.56
LY399_2,LY399,2,3,61.33,61.33,0,0,0,,0,0.766625,31.348,32.56
LY399_2,LY399,2,4,61.33,61.33,0,0,0,,0,0.766625,30.443,31.348
LY479_1,LY479,1,1,70.5,70.5,0,0,,0,0,0.794326241,32.47,31.84285714
LY479_1,LY479,1,2,70.5,70.5,0,0,,0,0,0.806099291,32.86,32.47
LY529B016_1,LY529B016,1,2,78,78,0,0,,0,0,0.769230769,32.39,32.962
LY551_1,LY551,1,2,70.5,70.5,0,0,,0,0,0.765957447,32.816,32.49
LY79_1,LY79,1,1,66,66,0,0,,0,0,0.772727273,32.258,31.94575
LY79_1,LY79,1,4,68,68,0,0,,0,0,0.762205882,30.457,31.27
LY79_2,LY79,2,3,51.83,51.83,0,0,0,,0,0.777411129,31.27,32.52
O36_1,O36,1,5,75,75,0,0,,0,0,0.7644,28.41975,30.415
SY517_1,SY517,1,1,74,74,0,0,,0,0,0.743243243,32.413,31.2315
SY518_2,SY518,2,1,53,53,0,0,0,,0,0.828125,32.46,31.34875
SY598_1,SY598,1,1,63.5,63.5,0,0,,0,0,0.763779528,32.157,31.616
SY598_2,SY598,2,3,52.5,52.5,0,0,0,,0,0.799451804,31.28,32.61
B58_1,B58,1,4,80.5,80.33,0.17,0.211627038,,0,0,0.744802689,30.41,31.403
B62_1,B62,1,5,78.5,78.33,0.17,0.217030512,,0,0,,28.669,30.383
B62_1,B62,1,4,78.33,78.17,0.17,0.217474735,,0,0,0.786746834,30.383,31.757
LY394_1,LY394,1,3,77.67,77.5,0.17,0.219354839,,0,0,0.692516129,31.43,32.69
LY386_1,LY386,1,3,76.17,76,0.17,0.223684211,,0,0,0.778552632,31.66,32.74
LY253_1,LY253,1,4,75.5,75.33,0.17,0.225673702,,0,0,,30.09,31.335
LY253_1,LY253,1,2,74.83,74.67,0.17,0.227668408,,0,0,,32.417,32.13
LY357_1,LY357,1,5,74.5,74.33,0.17,0.228709808,,0,0,0.825104265,29.05375,30.37
B007_1,B007,1,3,74,73.83,0.17,0.230258702,,0,0,0.729107409,31.87,32.599
B79_1,B79,1,3,73.67,73.5,0.17,0.231292517,,0,0,0.823129252,31.8,32.45
B142_1,B142,1,5,73.17,73,0.17,0.232876712,,0,0,0.742054795,28.32725,30.427
B27_1,B27,1,2,69.83,69.67,0.17,0.244007464,,0,0,0.786995838,32.687,32.544
LY355B012_1,LY355B012,1,4,69.17,69,0.17,0.246376812,,0,0,,30.508,31.587
LY106_1,LY106,1,3,67.83,67.67,0.17,0.251219152,,0,0,0.780700458,31.947,32.687
B21_1,B21,1,4,65.5,65.33,0.17,0.260217358,,0,0,0.750038267,30.03,31.543
B68_2,B68,2,4,65.33,65.17,0.17,0.260856222,0,,0,0.785180723,30.2,31.23
LY249_1,LY249,1,5,65.17,65,0.17,0.261538462,,0,0,0.961538462,27.8945,30.37
LY363_1,LY363,1,5,64,63.83,0.17,0.266332446,,0,0,0.788500705,28.819,30.545
LY252_2,LY252,2,4,62.33,62.17,0.17,0.273443783,0,,0,,30.16,31.243
B62_2,B62,2,4,61.67,61.5,0.17,0.276422764,0,,0,0.786746834,30.383,31.757
B62_2,B62,2,3,61.5,61.33,0.17,0.277188978,0,,0,0.782969488,31.757,32.518
LY399_2,LY399,2,5,61.5,61.33,0.17,0.277188978,0,,0,0.763475663,28.31725,30.443
B69_1,B69,1,3,61.17,61,0.17,0.278688525,,0,0,0.786885246,31.11,32.53
LY353B002_2,LY353B002,2,3,58.5,58.33,0.17,0.291445225,0,,0,0.770847099,31.457,32.678
B004_2,B004,2,5,57.83,57.67,0.17,0.294780649,0,,0,0.858567813,28.18875,30.41
B34_1,B34,1,3,57.17,57,0.17,0.298245614,,0,0,0.79245614,31.57,32.783
LY479_2,LY479,2,3,57.17,57,0.17,0.298245614,0,,0,0.808510638,31.47,32.86
LY479_2,LY479,2,2,57,56.83,0.17,0.299137779,0,,0,0.806099291,32.86,32.47
LY347_2,LY347,2,4,56.5,56.33,0.17,0.301793006,0,,0,0.716028982,30.28,31.38
B40_2,B40,2,3,56.17,56,0.17,0.303571429,0,,0,0.811594203,31.49,32.652
LY274B14_2,LY274B14,2,5,56,55.83,0.17,0.304495791,0,,0,,27.66975,30.11
LY90_2,LY90,2,5,55.67,55.5,0.17,0.306306306,0,,0,0.800519256,28.018,30.283
B27_2,B27,2,4,55.5,55.33,0.17,0.307247425,0,,0,0.784822695,30.18,31.583
LY274B14_2,LY274B14,2,3,55.33,55.17,0.17,0.308138481,0,,0,0.762754044,31.313,32.634
B142_2,B142,2,2,54.67,54.5,0.17,0.311926606,0,,0,0.741496599,32.588,32.762
LY90_2,LY90,2,2,54.17,54,0.17,0.314814815,0,,0,0.788321168,32.737,32.73
B28_2,B28,2,5,53.83,53.67,0.17,0.316750512,0,,0,0.817268159,27.78975,30.2
B28_2,B28,2,3,53.67,53.5,0.17,0.317757009,0,,0,0.755329663,31.66,32.625
SY598_2,SY598,2,5,53.5,53.33,0.17,0.318769923,0,,0,0.808030303,28.356,30.427
B33_2,B33,2,3,53.33,53.17,0.17,0.319729171,0,,0,0.80159807,31.55,32.704
B38_2,B38,2,3,50.83,50.67,0.17,0.335504243,0,,0,0.783516314,31.13,32.318
LY363_2,LY363,2,4,50.33,50.17,0.17,0.338847917,0,,0,0.779884968,30.545,31.53
B29_2,B29,2,3,49.67,49.5,0.17,0.343434343,0,,0,0.813743219,31.65,33.085
B38_2,B38,2,1,49.17,49,0.17,0.346938776,0,,0,0.771653543,31.978,31.6745
B60_2,B60,2,3,48.83,48.67,0.17,0.349291144,0,,0,0.834390537,31.635,32.644
B32_1,B32,1,3,48.17,48,0.17,0.354166667,,0,0,0.642291667,31.6,32.708
B69_2,B69,2,5,47.83,47.67,0.17,0.356618418,0,,0,0.764800257,28.3,30.26
B20_2,B20,2,5,47.5,47.33,0.17,0.359180224,0,,0,0.820704006,27.65775,30.09
LY85_2,LY85,2,4,47.5,47.33,0.17,0.359180224,0,,0,0.753302562,30.83,31.287
B20_2,B20,2,4,47.33,47.17,0.17,0.360398558,0,,0,0.825083086,30.09,31.583
B20_2,B20,2,3,47.17,47,0.17,0.361702128,0,,0,0.831858407,31.583,32.73
B78_1,B78,1,2,46.17,46,0.17,0.369565217,,0,0,0.789782609,32.952,32.32
B34_2,B34,2,4,45.5,45.33,0.17,0.375027576,0,,0,0.792898373,30.2,31.57
B34_2,B34,2,3,45.33,45.17,0.17,0.376355988,0,,0,0.79245614,31.57,32.783
B34_2,B34,2,2,45.17,45,0.17,0.377777778,0,,0,0.803571429,32.783,32.82
B58_1,B58,1,5,80.83,80.5,0.33,0.409937888,,0,0,0.741242236,28.2965,30.41
