GroupID,LC_Adj,Dev_Temp_LC,M_Temp_LC,Max_Temp_LC,Dev_Temp_LC_INIT,M_Temp_LC_INIT,Max_Temp_LC_INIT
B24,3,0.93,30.782,31.457,0.698,32.196,32.602
B24,4,0.41,29.82,30.03,0.93,30.782,31.457
B24,5,NA,NA,NA,0.41,29.82,30.03
B27,1,1.799,31.639,32.544,NA,NA,NA
B27,2,1.157,32.071,32.687,1.799,31.639,32.544
B27,3,1.083,30.763,31.583,1.157,32.071,32.687
B27,4,0.553,29.889,30.18,1.083,30.763,31.583
B27,5,NA,NA,NA,0.553,29.889,30.18
B27,1,1.799,31.639,32.544,NA,NA,NA
B27,2,1.157,32.071,32.687,1.799,31.639,32.544
B27,3,1.083,30.763,31.583,1.157,32.071,32.687
B27,4,0.553,29.889,30.18,1.083,30.763,31.583
B27,5,NA,NA,NA,0.553,29.889,30.18
B28,1,1.285,31.798,32.488,NA,NA,NA
B28,2,0.622,32.326,32.625,1.285,31.798,32.488
B28,3,1.117,30.917,31.66,0.622,32.326,32.625
B28,4,0.547,29.926,30.2,1.117,30.917,31.66
B28,5,NA,NA,NA,0.547,29.926,30.2
B28,1,1.285,31.798,32.488,NA,NA,NA
B28,2,0.622,32.326,32.625,1.285,31.798,32.488
B28,3,1.117,30.917,31.66,0.622,32.326,32.625
B28,4,0.547,29.926,30.2,1.117,30.917,31.66
B28,5,NA,NA,NA,0.547,29.926,30.2
B29,1,1.435,31.708,32.587,NA,NA,NA
B29,2,1.085,32.55,33.085,1.435,31.708,32.587
B29,3,1.085,30.876,31.65,1.085,32.55,33.085
B29,4,0.613,29.851,30.2,1.085,30.876,31.65
B29,5,NA,NA,NA,0.613,29.851,30.2
B29,1,1.435,31.708,32.587,NA,NA,NA
B29,2,1.085,32.55,33.085,1.435,31.708,32.587
B29,3,1.085,30.876,31.65,1.085,32.55,33.085
B29,4,0.613,29.851,30.2,1.085,30.876,31.65
B29,5,NA,NA,NA,0.613,29.851,30.2
B31,1,2.63,31.658,33.033,NA,NA,NA
B31,2,1.1,32.081,32.67,2.63,31.658,33.033
B31,3,1.11,31.095,31.74,1.1,32.081,32.67
B31,4,0.454,30.096,30.37,1.11,31.095,31.74
B31,5,NA,NA,NA,0.454,30.096,30.37
B31,1,2.63,31.658,33.033,NA,NA,NA
B31,2,1.1,32.081,32.67,2.63,31.658,33.033
B31,3,1.11,31.095,31.74,1.1,32.081,32.67
B31,4,0.454,30.096,30.37,1.11,31.095,31.74
B31,5,NA,NA,NA,0.454,30.096,30.37
B32,1,1.022,31.941,32.495,NA,NA,NA
B32,2,0.663,32.327,32.708,1.022,31.941,32.495
B32,3,1.015,30.817,31.6,0.663,32.327,32.708
B32,4,0.645,29.896,30.2,1.015,30.817,31.6
B32,5,NA,NA,NA,0.645,29.896,30.2
B32,1,1.022,31.941,32.495,NA,NA,NA
B32,2,0.663,32.327,32.708,1.022,31.941,32.495
B32,3,1.015,30.817,31.6,0.663,32.327,32.708
B32,4,0.645,29.896,30.2,1.015,30.817,31.6
B32,5,NA,NA,NA,0.645,29.896,30.2
B33,1,0.965,31.503,31.98,NA,NA,NA
B33,2,0.901,32.24,32.704,0.965,31.503,31.98
B33,3,1.037,30.817,31.55,0.901,32.24,32.704
B33,4,0.41,29.919,30.18,1.037,30.817,31.55
B33,5,NA,NA,NA,0.41,29.919,30.18
B33,1,0.965,31.503,31.98,NA,NA,NA
B33,2,0.901,32.24,32.704,0.965,31.503,31.98
B33,3,1.037,30.817,31.55,0.901,32.24,32.704
B33,4,0.41,29.919,30.18,1.037,30.817,31.55
B33,5,NA,NA,NA,0.41,29.919,30.18
B34,1,1.433,32.022,32.82,NA,NA,NA
B34,2,1.233,32.255,32.783,1.433,32.022,32.82
B34,3,1.113,30.837,31.57,1.233,32.255,32.783
B34,4,0.6,29.853,30.2,1.113,30.837,31.57
B34,5,NA,NA,NA,0.6,29.853,30.2
B34,1,1.433,32.022,32.82,NA,NA,NA
B34,2,1.233,32.255,32.783,1.433,32.022,32.82
B34,3,1.113,30.837,31.57,1.233,32.255,32.783
