FishID,GroupID,Rank,LC_Adj,Init_TL,Diff_TL,Perc_change_TL,Shrink,Growth_ThreeGroups,Dev_Temp_LC,M_Temp_LC,Max_Temp_LC,Dev_Temp_LC_INIT,M_Temp_LC_INIT,Max_Temp_LC_INIT
B33_2,B33,2,3,53.17,0.17,0.319729171,0,3,1.037,30.817,31.55,0.901,32.24,32.704
B33_2,B33,2,5,53.17,0.33,0.620650743,0,3,0.82825,27.53225,27.3475,0.41,29.919,30.18
B34_1,B34,1,4,57.17,-1,-1.749169145,1,3,0.6,29.853,30.2,1.113,30.837,31.57
B34_1,B34,1,5,56.17,-0.17,-0.302652662,1,3,1.09475,27.73925,27.90875,0.6,29.853,30.2
B34_1,B34,1,3,57,0.17,0.298245614,0,3,1.113,30.837,31.57,1.233,32.255,32.783
B34_1,B34,1,1,55.5,0.5,0.900900901,0,3,1.433,32.022,32.82,1.7495,31.70175,32.44525
B34_1,B34,1,2,56,1,1.785714286,0,3,1.233,32.255,32.783,1.433,32.022,32.82
B34_2,B34,2,4,45.33,0.17,0.375027576,0,1,0.6,29.853,30.2,1.113,30.837,31.57
B34_2,B34,2,3,45.17,0.17,0.376355988,0,1,1.113,30.837,31.57,1.233,32.255,32.783
B34_2,B34,2,2,45,0.17,0.377777778,0,1,1.233,32.255,32.783,1.433,32.022,32.82
B34_2,B34,2,5,45.5,0.5,1.098901099,0,1,1.09475,27.73925,27.90875,0.6,29.853,30.2
B34_2,B34,2,1,44,1,2.272727273,0,1,1.433,32.022,32.82,1.7495,31.70175,32.44525
B35_1,B35,1,5,67.5,-0.33,-0.488888889,1,2,0.73,27.94,28.8635,0.924,29.892,30.5
B35_1,B35,1,1,62.5,0,0,0,2,0.683,31.571,31.978,0.534,31.135,31.6745
B35_1,B35,1,2,62.5,1.33,2.128,0,2,0.626,32.005,32.318,0.683,31.571,31.978
B35_1,B35,1,3,63.83,1.67,2.616324612,0,2,0.687,30.652,31.13,0.626,32.005,32.318
B35_1,B35,1,4,65.5,2,3.053435115,0,2,0.924,29.892,30.5,0.687,30.652,31.13
B35_2,B35,2,1,48,-0.83,-1.729166667,1,2,0.683,31.571,31.978,0.534,31.135,31.6745
B35_2,B35,2,4,49,0.67,1.367346939,0,2,0.924,29.892,30.5,0.687,30.652,31.13
B35_2,B35,2,3,48.17,0.83,1.723064148,0,2,0.687,30.652,31.13,0.626,32.005,32.318
B35_2,B35,2,5,49.67,1,2.013287699,0,2,0.73,27.94,28.8635,0.924,29.892,30.5
B35_2,B35,2,2,47.17,1,2.11999152,0,2,0.626,32.005,32.318,0.683,31.571,31.978
B38_1,B38,1,1,63.5,-0.5,-0.787401575,1,2,0.683,31.571,31.978,0.534,31.135,31.6745
B38_1,B38,1,3,64.67,0.83,1.283438998,0,2,0.687,30.652,31.13,0.626,32.005,32.318
B38_1,B38,1,5,68.5,1,1.459854015,0,2,0.73,27.94,28.8635,0.924,29.892,30.5
B38_1,B38,1,2,63,1.67,2.650793651,0,2,0.626,32.005,32.318,0.683,31.571,31.978
B38_1,B38,1,4,65.5,3,4.580152672,0,2,0.924,29.892,30.5,0.687,30.652,31.13
B38_2,B38,2,5,50.67,-0.5,-0.986777186,1,3,0.73,27.94,28.8635,0.924,29.892,30.5
B38_2,B38,2,4,50.83,-0.17,-0.334448161,1,3,0.924,29.892,30.5,0.687,30.652,31.13
B38_2,B38,2,3,50.67,0.17,0.335504243,0,3,0.687,30.652,31.13,0.626,32.005,32.318
B38_2,B38,2,1,49,0.17,0.346938776,0,3,0.683,31.571,31.978,0.534,31.135,31.6745
B38_2,B38,2,2,49.17,1.5,3.050640635,0,3,0.626,32.005,32.318,0.683,31.571,31.978
B40_1,B40,1,5,74,-3.5,-4.72972973,1,2,1.0665,27.74575,27.75525,0.275,29.984,30.09
B40_1,B40,1,3,69,0.5,0.724637681,0,2,0.902,30.968,31.49,1.352,32.17,32.652
B40_1,B40,1,2,67.5,1.5,2.222222222,0,2,1.352,32.17,32.652,1.737,31.627,32.647
B40_1,B40,1,4,69.5,4.5,6.474820144,0,2,0.275,29.984,30.09,0.902,30.968,31.49
B40_1,B40,1,1,62.5,5,8,0,2,1.737,31.627,32.647,2.2755,30.81125,32.17175
B40_2,B40,2,2,56,0,0,0,1,1.352,32.17,32.652,1.737,31.627,32.647
B40_2,B40,2,4,56.17,0,0,0,1,0.275,29.984,30.09,0.902,30.968,31.49
B40_2,B40,2,3,56,0.17,0.303571429,0,1,0.902,30.968,31.49,1.352,32.17,32.652
B40_2,B40,2,1,53,3,5.660377358,0,1,1.737,31.627,32.647,2.2755,30.81125,32.17175
B46_1,B46,1,5,82,-1.67,-2.036585366,1,3,1.292,27.7905,27.786,0.313,30.187,30.37
B46_1,B46,1,1,79,-0.5,-0.632911392,1,3,2.036,31.336,32.623,2.8725,30.1485,32.035
B46_1,B46,1,3,80.33,-0.5,-0.622432466,1,3,0.833,31.023,31.42,1.986,32.292,33.159
B46_1,B46,1,2,78.5,1.83,2.331210191,0,3,1.986,32.292,33.159,2.036,31.336,32.623
B46_1,B46,1,4,79.83,2.17,2.718276337,0,3,0.313,30.187,30.37,0.833,31.023,31.42
B46_2,B46,2,5,64.17,-1.17,-1.823281907,1,3,1.292,27.7905,27.786,0.313,30.187,30.37
B46_2,B46,2,2,63.17,-0.33,-0.522399873,1,3,1.986,32.292,33.159,2.036,31.336,32.623
B46_2,B46,2,3,62.83,0.33,0.525226802,0,3,0.833,31.023,31.42,1.986,32.292,33.159
B46_2,B46,2,4,63.17,1,1.583029919,0,3,0.313,30.187,30.37,0.833,31.023,31.42
B46_2,B46,2,1,62,1.17,1.887096774,0,3,2.036,31.336,32.623,2.8725,30.1485,32.035
B48_1,B48,1,2,81,-1.83,-2.259259259,1,3,1.633,32.288,33.073,1.552,31.837,32.587
B48_1,B48,1,5,79.33,-0.33,-0.415983865,1,3,1.25625,27.6995,27.649,0.79,29.995,30.41
B48_1,B48,1,4,79.67,-0.33,-0.414208611,1,3,0.79,29.995,30.41,1.05,31.076,31.83
B48_1,B48,1,3,79.17,0.5,0.631552356,0,3,1.05,31.076,31.83,1.633,32.288,33.073
B48_1,B48,1,1,78.5,2.5,3.184713376,0,3,1.552,31.837,32.587,1.9735,31.0685,31.536
B48_2,B48,2,5,58.83,-0.83,-1.410844807,1,3,1.25625,27.6995,27.649,0.79,29.995,30.41
B48_2,B48,2,4,59.17,-0.33,-0.557715058,1,3,0.79,29.995,30.41,1.05,31.076,31.83
B48_2,B48,2,3,59.17,0,0,0,3,1.05,31.076,31.83,1.633,32.288,33.073
B48_2,B48,2,2,58.67,0.5,0.852224305,0,3,1.633,32.288,33.073,1.552,31.837,32.587
B48_2,B48,2,1,57,1.67,2.929824561,0,3,1.552,31.837,32.587,1.9735,31.0685,31.536
B49_1,B49,1,3,71.83,-1.17,-1.628845886,1,2,0.693,30.813,31.283,1.674,31.988,32.544
B49_1,B49,1,2,71,0.83,1.169014085,0,2,1.674,31.988,32.544,0.4,31.55,31.78
B49_1,B49,1,4,70.67,2,2.830055186,0,2,0.75,29.905,30.26,0.693,30.813,31.283
B49_2,B49,2,2,61,-2.33,-3.819672131,1,3,1.674,31.988,32.544,0.4,31.55,31.78
B49_2,B49,2,5,60.5,-0.5,-0.826446281,1,3,0.947714286,27.92114286,27.85857143,0.75,29.905,30.26
B49_2,B49,2,3,58.67,0.33,0.562468042,0,3,0.693,30.813,31.283,1.674,31.988,32.544
B49_2,B49,2,4,59,1.5,2.542372881,0,3,0.75,29.905,30.26,0.693,30.813,31.283
B49_2,B49,2,1,57,4,7.01754386,0,3,0.4,31.55,31.78,1.222692308,31.11042857,30.93071429
B54_1,B54,1,2,66.5,-0.17,-0.255639098,1,3,1.485,32.076,32.685,2.637,31.892,33.083
B54_1,B54,1,4,68.33,-0.17,-0.248792624,1,3,0.272,30.13,30.285,0.844,30.888,31.488
B54_1,B54,1,5,68.17,0.83,1.217544374,0,3,1.3095,28.4505,28.48125,0.272,30.13,30.285
B54_1,B54,1,3,66.33,2,3.015226896,0,3,0.844,30.888,31.488,1.485,32.076,32.685
B54_1,B54,1,1,60,6.5,10.83333333,0,3,2.637,31.892,33.083,3.2435,31.6875,33.27675
B54_2,B54,2,1,54,-1.17,-2.166666667,1,3,2.637,31.892,33.083,3.2435,31.6875,33.27675
B54_2,B54,2,5,54.33,-0.33,-0.607399227,1,3,1.3095,28.4505,28.48125,0.272,30.13,30.285
B54_2,B54,2,2,52.83,0,0,0,3,1.485,32.076,32.685,2.637,31.892,33.083
B54_2,B54,2,4,53.67,0.67,1.248369666,0,3,0.272,30.13,30.285,0.844,30.888,31.488
B54_2,B54,2,3,52.83,0.83,1.57107704,0,3,0.844,30.888,31.488,1.485,32.076,32.685
B58_1,B58,1,4,80.33,0.17,0.211627038,0,1,0.79,29.825,30.41,0.946,30.721,31.403
B58_1,B58,1,5,80.5,0.33,0.409937888,0,1,1.07075,27.59475,28.2965,0.79,29.825,30.41
B58_1,B58,1,3,80,0.33,0.4125,0,1,0.946,30.721,31.403,1.1,32.058,32.573
B58_1,B58,1,1,78.5,0.5,0.636942675,0,1,1.447,31.469,32.19,1.602,30.72925,31.5515
B58_1,B58,1,2,79,1,1.265822785,0,1,1.1,32.058,32.573,1.447,31.469,32.19
B58_2,B58,2,4,59.83,-0.17,-0.284138392,1,2,0.79,29.825,30.41,0.946,30.721,31.403
